Label,Headline,Body,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,foto perempuan berjilbab aksi bela islam membawa poster ahok lawan,"Sumber : Media Sosial Narasi :   Penjelasan & Fakta : Aksi bela Islam pada tanggal 4 November yang dihadiri ribuan umat Islam di DKI Jakarta terkait peristiwa penistaan agama oleh Gubernur Jakarta Ahok. Peristiwa tersebut pun dimanfaatkan oleh oknum yang tidak bertanggung jawab dengan menyebarkan informasi berbentuk meme di media sosial. Faktanya foto tersebut bukan foto asli. Foto itu hasil editan, yang diambil dari aksi demonstrasi bersih 4.0 di Kuala Lumpur, Malaysia, Agustus 2015. Inilah penampakan foto aslinya :   Referensi : http://buasirotak.blogspot.com/2015/08/koleksi-gambar-awek-dan-lain2-sekitar.html   https://www.facebook.com/groups/fafhh/permalink/368737306792144/",,,,
0,foto perempuan mengenakan kaos bertuliskan teman ahok memakaikan bra pria,"SUMBER: Pertanyaan dari pengikut FAFHH https://www.facebook.com/groups/fafhh/permalink/377991575866717/ NARASI: Konteks gambar ini? PENJELASAN: Foto perempuan yang mengenakan kaos bertuliskan Teman Ahok yang sedang memakaikan bra kepada beberap pria adalah tidak benar atau hoax. Setelah dilakukan penelitian, nyatanya foto tersebut adalah kampanye kepedulian pria di China terhadap kanker payudara yang diorganisir oleh Hunan Cancer Hospital. Tidak hanya mengenakan bra, pria yang sadar terhadap bahaya kanker payudara itu juga melakukan lompat tali. KESIMPULAN: Gambar hoax tersebut menimbulkan berbagai persepsi yang dapat merugikan Teman Ahok sebagai komunitas. REFERENSI: 1. https://www.dramafever.com/news/chinese-men-wear-bras-and-jump-rope-for-breast-cancer-awareness-/ 2. http://www.dailymail.co.uk/femail/article-2783443/Hospital-stunt-help-raise-awareness-breast-cancer-sees-MEN-dressed-bras-comes-fire-creepy.html",,,,
0,foto personil act aksi cepat tanggap meninggal,"SUMBER : MEDIA SOSIAL NARASI : Mohon doanya, telah meninggal dunia saudara kami yang membawa dana bantuan, obatan, tim dokter, dan barang dari Indonesia ke Suriah krn terkena bom. Semoga alm syahid, allah terima amal ibadahnya, ampuni dosanya dan istri anak yang ditinggalkan diberi ketabahan dan kesabaran. amin ya rab PENJELASAN : Foto tersebut adalah satu dari puluhan jepretan fotografer yang tersebar di media daring. Sejatinya foto itu diambil saat sejumlah relawan Aksi Cepat Tanggap (ACT) bersama aktivis Masyarakat Relawan Indonesia (MRI) Jakarta Raya turun ke jalan di momen Car Free Day (CFD), Jakarta, Minggu, ( 8/5). Aksi itu dilakukan dalam rangka kampanye kepedulian terhadap warga sipil Suriah yang menjadi korban serangan brutal militer rezim Suriah dengan sekutunya Rusia di Kota Aleppo. Ratusan korban sipil, baik orang dewasa maupun anak-anak, tewas dan alami luka-luka berat. Para relawan melakukan aksi teatrikal outdoor yang cukup sempurna. Aksi teatrikal yang menggambarkan betapa memerah darah di Suriah. Jika ada kekeliruan dalam happening art tersebut, mungkin terkait kostum. Relawan yang berpura-pura jadi korban kekejaman rezim Suriah, memakai rompi ACT. Hingga banyak netizen meminta konfirmasi apakah itu seorang relawan ACT syahid tertembak saat bertugas. Padahal itu hanya penggambaran korban sipil Suriah yang tewas diberondong peluru.   https://www.facebook.com/groups/fafhh/permalink/286705401662002/",,,,
0,foto prajurit militer perancis memanggang bocah mali,"Sumber : Media Sosial Narasi : Pasukan anti teror Perancis sedang memanggang anak Mali  sebuah negeri muslim di Afrika  , jadi siapa yang menjadi teroris sejati?? Penjelasan : Foto yang menggambarkan 2 orang prajurit yang sedang mengangkat seorang bocah diatas tungku menjadi bahan pembicaraan di masyarakat. Bahkan, oknum tidak bertanggung jawab menyebarkan foto tersebut dengan deskripsi yang mengaitkannya dengan isu teroris yang berhubungan dengan Islam Faktanya, foto tersebut adalah bukan peristiwa sesunggguhnya. Foto itu diambil dari cnn.com, soal peristiwa kekejaman oleh pasukan terjun payung elit Belgia selama misi perdamaian Somalia U.N 1993. Dikutip dari cnn.com, peristiwa kejam itu mengisahkan ketika anggota unit penerjun payung elit Belgia bertugas di misi Operation Restore Hope PBB di Somalia pada tahun 1993. Dua tahun lalu, 15 pasukan terjun payung diadili atas pelanggaran lainnya selama misi PBB, termasuk penyiksaan, pembunuhan dan eksekusi pura-pura anak-anak. Sebagian besar dibebaskan. Referensi : http://edition.cnn.com/WORLD/9704/17/belgium.somalia/   https://www.facebook.com/groups/fafhh/permalink/207810819551461/    ",,,,
0,foto ribuan demonstran berkumpul istiqlal,"Sumber : Media Sosial Narasi :   Penjelasan & Fakta : Dilansir dari tempo.co, Kepala Bagian Protokol Masjid Istiqlal Abu Hurairah Abdulsalam membantah ada demonstran berjumlah besar seperti yang tampak pada sebuah foto yang viral di media sosial. Hoax itu, katanya saat ditemui di Masjid Istiqlal, Jakarta, Kamis, 3 November 2016. Dia menjelaskan, ribuan orang yang terlihat dalam foto itu memang ada di Istiqlal, tapi itu merupakan foto mereka pada Senin malam lalu. Itu acara rutin MR (Majelis Rasulullah). Dalam foto yang viral di media sosial itu, terlihat ribuan umat yang berpakaian putih-putih sedang berdiri dan berkumpul di tempat salat. Jemaah tampak memenuhi ruangan salat hingga ke lantai atas Masjid Istiqlal. Berdasarkan pantauan Tempo di lokasi, pagi tadi belum ada peserta unjuk rasa dalam jumlah besar. Namun beberapa orang dari luar kota sudah berdatangan dalam kelompok kecil. Salah satunya sejumlah santri dari Banten. Mereka tiba di Istiqlal sejak pukul 01.00 tadi. Ada pula seorang pengurus Pondok Pesantren Babussalam, Riau, yang mengaku sudah ada di Jakarta sejak kemarin. Semakin sore, jumlah peserta unjuk rasa yang datang ke Istiqlal semakin ramai. Mereka berencana bermalam di masjid hingga esok hari. Ini sudah mulai ramai, tidak seperti magrib yang biasanya, ujar Didi, seorang staf bagian protokol. Pengurus Istiqlal mempersilakan para peserta unjuk rasa bermalam di sini asalkan menaati aturan dan menjaga ketertiban, yaitu berhemat menggunakan air dan listrik. Referensi : https://metro.tempo.co/read/817375/foto-ribuan-demonstran-berkumpul-di-istiqlal-pengurus-itu-hoax   https://www.facebook.com/groups/fafhh/permalink/368437646822110/  ",,,,
0,foto adik menyuapi kakaknya kondisi menyedihkan,"SUMBER : MEDIA SOSIAL NARASI : Tinggal hanya gubug yang bertikar kayu, beratap gerami, namun adek ini tetap setia merawat kakanya yang sedang sakit tanpa orang tuanya. Dengan bantuan tetangga,,,, adakah yang sudi aminkan? semoga mereka diberi sehat dan diberi rezeki berlimpah amiiiinnnn #share agar sampai ke bapak pemerintah PENJELASAN : Setelah dilakukan penelusuran lebih lanjut, diketahui jika foto tersebut tidak terjadi di Indonesia melainkan di vietnam. Meski ramai diperbincangan pada tahun 2016, foto tersebut sebenarnya sudah ada di media-media vietnam sejak tahun 2015 lalu. https://www.facebook.com/groups/fafhh/permalink/288976811434861/",,,,
0,foto bugil diduga milik najwa shihab,"Sumber : Media Sosial Narasi : Penjelasan & Fakta : Sebuah postingan yang diunggah oleh akun Risaldi Agung sudah di share ratusan kali di salah satu grup media sosial. Faktanya, tautan tersebut jika diklik tidak ada beritanya justru mengarah ke web invite.cahstree.id(sebuah web/apps reward yang belum lama masuk ke Indonesia. Kegunaan utamanya adalah untuk memudahkan penggunanya untuk mendapatkan reward alias hadiah biasanya berbentuk pulsa.   https://www.facebook.com/groups/fafhh/permalink/500927816906425/",,,,
0,foto warga suriah korban bombardir perancis,"Sumber: Facebook Narasi: Perancis Memborbardir Suriah Penjelasan: Pada gambar yang diposting akun Facebook Dhewa Edikresnha dituliskan keterangan perancis memborbardir Suriah. Namun tanpa disadari oleh akun Dhewa dalam gambarnya tersebut ada keterangan tertulis yang berbunyi: Incase media didnt imform you, a couple of hours ago more than 80 Syrians were killed and over 200 injured from a Syrian Governtments airstrike to market Dengan begitu, gambar dan keterangan yang dibuat akun tersebut adalah hoax. https://www.facebook.com/groups/fafhh/permalink/204393799893163/",,,,
0,gajah mada beragama islam,"SUMBER : MEDIA SOSIAL NARASI : PENJELASAN : Belakangan ini cukup banyak repost dan viral sebuah tulisan dengan judul MELURUSKAN SEJARAH!! (dengan tanda seru) yang justru berisi sebuah distorsi luar biasa, bahkan bisa diartikan sebagai dongeng menyesatkan. Tulisan tersebut berisi sebuah narasi yang pada intinya ingin mengatakan bahwa Mahapatih Gajah Mada adalah seorang sosok Muslim luar biasa yang sebenarnya bernama Gaj Ahmada. Dalam kaitan tersebut kita harus dapat dengan jernih melihat bahwa sejarah bukanlah dongeng yang cukup hanya dibuktikan dengan argumen otak atik matuk alias dengan nalar cocoklogi berdasarkan kemauan sendiri atau tujuan-tujuan tendensius. Masyarakat Nusantara harus cerdas dalam menangkap informasi yang tidak jelas latar kesejarahannya dengan berbagai bukti yang melingkupinya. Viral tulisan tersebut sangat dimungkinkan didasarkan pada buku berjudul Kesultanan Majapahit ditulis oleh Herman Sinung Janutama, lulusan UMY Yogyakarta yang menulis buku tersebut tanpa didasari keilmuan selain otak-atik gathuk alias cocoklogi. Jika nama GAJAH MADA dipaksakan menjadi bahasa Arab Gaj Ahmada, pertanyaannya adalah memangnya hal tersebut dapat ditemui ada dalam prasasti, naskah kuno Negara kretagama? Atau ada dalan kitab Pararaton, Kidung Sunda, Usana Jawa? Apakah ada satu saja yg menulis Kosa Kata Jawa Gaj dan Ahmada ? Lalu apa arti kosa kata Gaj ? Ia merupakan kosa kata Jawa atau Arab?. Lalu apa arti dari kata Ahmada? Adakah orang Arab memakai nama Ahmada? Dalam buku yang cenderung awur-awuran itu, penulis secara tegas menyatakan bahwa Raden Wijaya adalah dzuriyah (keturunan) Nabi Muhammad SAW dan beragama lslam. Pertanyaanya simpel saja, apa dasarnya? tidakkah penulis itu tahu bahwa Sanggrama Wijaya yang bergelar Kertarajasa Jayawarddhana itu saat mangkat jenazahnya dibakar dan abunya dicandikan di Simping dan Weleri? Memangnya Dzuriyah Rasulullah SAW yang muslim matinya dibakar? Mari kita baca naskah-naskah Majapahit mulai Negara kretagama, Kutaramanawa Dharmasastra, Kidung Banawa Sekar, Kidung Ranggalawe, Kidung Panji Wijayakrama, Kidung Sudamala, Kakawin Sutasoma, dll, termasuk prasasti-prasasti. Adakah pengaruh bahasa Arab dalam naskah-naskah tersebut? Tulisan Bodoh Yang Membodohkan Bangsa Tulisan-tulisan bodoh yang tanpa dasar ilmu tentang sejarah bangsa, sepintas bisa dianggap sebagai tulisan picisan yg tidak memiliki pengaruh apa-apa terhadap sejarah mainstream bangsa lndonesia. Tapi jika tulisan sampah dalam keilmuan itu ditopang oleh organisasi besar dan institusi negara dan akademisi, bisa merubah eksistensi dan citra bangsa. Jika Borobudur bikinan Nabi Sulaiman dan Majapahit didirikan orang Arab keturunan Nabi SAW, akan terdapat simpulan bahwa pribumi lndonesia itu kumpulan manusia primitif yang tidak memiliki peradaban dan kebudayaan. Bagaimana bangsa lndonesia disebut beradab jika membikin candi saja tidak becus, menunggu kedatangan Bani lsrael. Nah, jika Bani lsrael dapat membangun candi yg sangat megah di negeri seberang lautan, adakah situs bangunan candi seperti borobudur di lsrael? Jika Majapahit didirikan oleh dzuriyah Rasul SAW, maka tentu terbukti bangsa ini primitif dan tolol sampai sampai untuk membangun sistem pemerintahan saja tidak mampu, dan harus menunggu kedatangan orang Arab yang lebih beradab dan memiliki iptek canggih. LINK FAFHH : https://www.facebook.com/groups/fafhh/permalink/485167201815820/",,,,
0,gantungan kunci gratis dipasang gps,"SUMBER: Siaran (broadcast) Whatsapp. NARASI: Di POM Bensin byk yg ksh gantungan kunci ini gratisjgn diambil krn ada GPS n bs diikutin sampe rmh n dirampoksdh ada yg kena. PENJELASAN: Hoax daur ulang, (1) Sudah pernah dibahas oleh Indonesian Hoax Busters di https://goo.gl/s5jbXh: Klaim Sekilas Info : Di POM Bensin byk yg ksh gantungan kunci ini gratisjgn diambil krn ada GPS n bs diikutin sampe rmh n dirampoksdh ada yg kena Harap berhati-hati!! MODUS BARU PERAMPOK : Ada sindikat penjahat menyamar sebagai promotor penjualan yg memberikan Gantungan Kunci Gratis di pompa bensin, tempat parkir di mall2 dan pusat2 perbalanjaan lainnya. Gantungan kunci itu memiliki Chip alat pelacak yang memungkinkan mereka u/ mengikuti Anda. Jangan terima barang dr mereka. Mereka memilih calon korbannya yg berpotensi, & jika Anda menerima, maka Anda sudah masuk perangkap mereka. Gantungan kunci itu memang sangat indah, sulit u/ menolaknya, tapi Anda hrs ingat,. Anda mungkin akan membayar lebih dari harga gantungan kunci tsb, termasuk resiko yg menimpa hidup Anda. Mohon beritahu anggota keluarga Anda & teman-teman lainnya (y):) Berita ini sangat PENTING bagi Anda dan Saudara,, juga Keluarga anda.. WASPADALAH!!! Pembahasan Rumor tentang gantungan kunci ber-GPS yang disebar gratis untuk menjadi alat bantu perampokan pernah santer beredar pada tahun 2012. Kini isu tersebut diangkat lagi oleh para penggiat Paytren via akun/page nya dan netizen yang kurang memperhatikan kaidah 5W+1H (What,When,Where,Who,Why,How) membagikan ulang postingan tersebut hingga ribuan lebih jumlahnya. Meskipun kita tetap harus waspada bila orang asing tiba-tiba memberikan barang gratis apapun itu bentuknya, tentu tidak menjadi pembenaran untuk menyebarkan kabar yang tidak jelas sumber dan buktinya. Berikut kami lansir penjelasan yang pernah dimuat oleh media Inilah.com Mengupas Isu Modus Perampokan Baru di BlackBerry Oleh : Billy A Banggawan | Sabtu, 4 Februari 2012 | 21:38 WIB INILAH.COM, Jakarta Baru-baru ini, banyak beredar peringatan di BlackBerry Messenger (BBM) mengenai modus perampokan baru. Ingin tahu? Peringatan tersebut berisi, Harap berhati-hati!! MODUS BARU PERAMPOK : Ada sindikat penjahat menyamar sebagai promotor penjualan yg memberikan Gantungan Kunci Gratis di pompa bensin, tempat parkir di mall2 dan pusat2 perbalanjaan lainnya. Gantungan kunci itu memiliki Chip alat pelacak yang memungkinkan mereka u/ mengikuti Anda. Jangan terima barang dr mereka. Mereka memilih calon korbannya yg berpotensi, & jika Anda menerima, maka Anda sudah masuk perangkap mereka. Gantungan kunci itu memang sangat indah, sulit u/ menolaknya, tapi Anda hrs ingat,. Anda mungkin akan membayar lebih dari harga gantungan kunci tsb, termasuk resiko yg menimpa hidup Anda. Mohon beritahu anggota keluarga Anda & teman-teman lainnya (y):) Berita ini sangat PENTING bagi Anda dan Saudara,, juga Keluarga anda.. WASPADALAH!!!. Menurut pengamat telematika Abimanyu Wachjoewidajat, kebenaran berita ini perlu diuji. Karena pada dasarnya, jika seseorang sudah mengingatkan, tentu ada baiknya lebih waspada namun waspada yang berlebihan cenderung membuat menjadi was-was yang akhirnya menjadi paranoid kemudian mencurigai apapun dengan modus serupa, paparnya pada INILAH.COM. Menurut saya, berita ini kemungkinan adalah Hoax, katanya. Bukan tanpa alasan, pria yang akrab disapa Abah itu juga menyebutkan mengapa kabar ini adalah hoax. Pertama, jila benar pengirim berita pernah menjadi korban, artinya ia masih memiliki barang buktinya (gantungan kunci) . Sementara itu, sebagai pengguna BlackBerry yang notabene memiliki kamera, maka tentu ia bisa mudah mengambil gambar kemudian menyebarkannya bersama berita itu namun anehnya, ia tak melakukannya. Kedua, yang bersangkutan tak dapat menggambarkan barang tersebut, hanya mengutarakan kapan dan dimana ia mendapat gantungan kunci itu serta tak mengutarakan bagaimana bentuk nyatanya. Namun, jika benda yang dimaksud tak bisa digambarkan dengan jelas, maka peringatan ini menjadi terlalu umum karena banyak perusahaan yang sering memberi benda, mulai sampel hingga benda premium, Apa dengan begini semua benda tak boleh diterima? Bagaimana dengan perusahaan yang berniat memberi secara tulus?. Ketiga, secara teknis telematika, benda tersebut setidaknya memiliki daya pancar cukup kuat hingga bisa berinteraksi dengan perangkat penerima. Demikian, benda itu memiliki sumber daya seperti baterai yang cukup besar. Artinya, benda itu tak mungkin kecil, bercatu daya, perlu pengisian agar bisa dipakai lebih lama. Keempat, bahkan jika perangkat tersebut ditengarai bisa berinteraksi via GPS, artinya, alat tersebut berharga kurang lebih Rp1-2 juta per buah. Sungguh suatu sindikat maha kaya yang mencari calon korban dengan memberi benda seharga demikian mahal, ungkapnya. Selain itu, GPS yang berbasis satelit (bukan jaringan) butuh akses terbuka secara vertikal dan jika ditaruh di rumah atau dibawa di mobil, maka kemampuan memberi kordinat lokasi (lintang dan bujur) akan langsung gugur. Kelima, jika benda ini memang ada dan pelaku sudah mengetahui rumah Anda lalu apa yang bisa ia lakukan? Cara penguntitan sama tanpa perlu menggunakan alat ini bisa saja dilakukan penjahat dengan mengikuti calon korban sampai rumah yang kemudian dilanjutkan menerobos masuk rumah. Perlu diketahui, benda ini hanya pemancar biasa dan tak memiliki fungsi mematikan alarm rumah, dan tak memiliki kemampuan pantau, tak mampu mematikan listrik dan benda lain, alat ini jelas bukan jammer. Lalu seberapa efektif alat tersebut membantu perampok menerobos rumah? Keenam, dengan rentang waktu tersebut, maka setidaknya dalam beberapa hari, benda tersebut akan kehabisan daya kemudian tak lagi efektif dan pada akhirnya, yang tersisa hanyalah sebuah hiasan. Ketujuh, jila benda ini berisi pemancar RFID pasif atau aktif, jarak efektifnya tetap hanya beberapa meter, tak sampai belasan atau puluhan meter. Demikian, jika alat ditaruh dibelakang rumah, kemudian komplotan yang membawa reader alat ini pasti tak bisa mendeteksi alat tersebut. Kedelapan, jika memang ada perangkat semacam ini, proses klarifikasinya sangat mudah. Mulai dengan cara telematika, cukup minta petugas pemberi untuk foto bersama Anda yang kemudian memang terbukti benda yang dimaksud digunakan untuk kejahatan, maka Anda sudah memiliki wajah pelaku. Jika benda yang Anda peroleh cukup mencurigakan dan Anda mendapatkannya lebih dari satu, maka biarpun alat tersebut kelihatan sangat bermanfaat, maka tak ada salahnya menghancurkan salah satunya untuk pembuktian kemudian Anda bisa segera menyebarnya via internet dan ini bisa sangat efektif. Kesembilan, jika peringatan ini merupakan hoax, maka perlu dicari tahu maksud penyebaran berita ini, bisa jadi modusnya karena persaingan bisnis atau lainnya. Bersikap bijaklah. Kesimpulan Tetap biasakan menelaah suatu berita berdasar kaidah 5W+1H (What,When,Where,Who,Why,How), dan meskipun poin ke empat di artikel di atas sudah tidak berlaku karena sekarang banyak produk Tiongkok berharga murah, sampai saat ini belum ada berita resmi yang menyatakan adanya perampokan setelah korban mendapat gantungan kunci gratis di SPBU. Sebaiknya sebelum menyebarkan suatu kabar atau berita silakan kroscek dengan sumber yang lebih kredibel agar tidak menimbulkan kepanikan massal. Mari #BerinternetSehat #BerinternetCerdas #BerinternetBijak #StopHoax #StopPropaganda#StopPembodohanMassal Sumber http://teknologi.inilah.com//mengupas-isu-modus-perampokan https://uutbeniandriyanto.wordpress.com//gantungan-kunci-/ (2) Bongkaran (debunk) oleh Snopes.com: https://goo.gl/anLV8N, E-mail yang terbang melalui eter elektronik di Afrika Selatan memperingatkan perangkat pelacak yang dipasang pada gantungan kunci gratis adalah palsu dan pengecer bahan bakar Caltex merasa marah karena promosi di bengkel telah menjadi korban mitos perkotaan. Juru bicara kepolisian Inspektur Vincent Mdunge mengatakan klaim tersebut tidak benar dan polisi sekarang menyelidiki dari mana asal e-mail ini. Ini murni tipuan dan pengendara motor tidak perlu takut. Asumsi semacam itu benar-benar menggelikan. Kami pasti akan membuka tuntutan pidana terhadap para penjahat ini begitu mereka tertangkap.  Caltex meyakinkan pelanggan bahwa gantungan kunci yang dibagikan di SPBU tidak memiliki perangkat pelacak pada mereka dan ini adalah bagian dari kampanye kesadaran merek untuk mempromosikan merek Power Diesel Caltex, kata juru bicara Miranda Anthony. Kami telah menjalankan promosi Caltex Power Diesel melalui jaringan stasiun layanan kami. Cincin kunci bermerek Caltex dikeluarkan untuk pelanggan diesel kami sebagai bagian dari promosi ini. Ini adalah barang baru dan memiliki perangkat berkedip yang dimaksudkan untuk menciptakan kesadaran produk.  https://goo.gl/ayR6BW, E-mails flying through the electronic ether in South Africa warning of tracking devices fitted into free key rings are false and fuel retailer Caltex is infuriated that its promotion at service stations has become a victim of urban myth. Police spokesperson Superintendent Vincent Mdunge said such claims were untrue and police are now investigating where these e-mails originated from. It is purely a hoax and motorists need not have any fears. Such assumptions are really ludicrous. We will definitely open criminal charges against these hoaxsters once they are caught. Caltex reassured customers that key rings being handed out at petrol stations do not have tracking devices on them and that this was part of a brand awareness campaign to promote Caltexs Power Diesel brand, said spokesperson Miranda Anthony. We have been running a Caltex Power Diesel promotion through our service station network. Caltex branded key rings were issued to our diesel customers as part of this promotion. These are novelty items and have a flashing device meant to create product awareness. LINK FAFHH : https://www.facebook.com/groups/fafhh/permalink/538569456475594/",,,,
